Last module: decoder.final_layer_norm
Model Len: 219
Per-module activation-GB to execution-time throughput (GB/s):
decoder.layers.15.self_attn.out_proj, Linear: time=0.000057s, act=0.0864GB, throughput=1504.133169GB/s
decoder.layers.22.self_attn.out_proj, Linear: time=0.000058s, act=0.0864GB, throughput=1479.575893GB/s
decoder.layers.3.self_attn.k_proj, Linear: time=0.000016s, act=0.0234GB, throughput=1467.223881GB/s
decoder.layers.16.self_attn.q_proj, Linear: time=0.000016s, act=0.0234GB, throughput=1445.647059GB/s
decoder.layers.14.self_attn.q_proj, Linear: time=0.000016s, act=0.0234GB, throughput=1424.695652GB/s
decoder.layers.22.self_attn.q_proj, Linear: time=0.000016s, act=0.0234GB, throughput=1424.695652GB/s
decoder.layers.16.self_attn.out_proj, Linear: time=0.000062s, act=0.0864GB, throughput=1405.023619GB/s
decoder.layers.5.self_attn.out_proj, Linear: time=0.000062s, act=0.0864GB, throughput=1399.598818GB/s
decoder.layers.14.self_attn.out_proj, Linear: time=0.000062s, act=0.0864GB, throughput=1399.598818GB/s
decoder.layers.1.self_attn.v_proj, Linear: time=0.000017s, act=0.0234GB, throughput=1384.563380GB/s
decoder.layers.23.self_attn.q_proj, Linear: time=0.000017s, act=0.0234GB, throughput=1384.563380GB/s
decoder.layers.7.self_attn.q_proj, Linear: time=0.000017s, act=0.0234GB, throughput=1365.333333GB/s
decoder.layers.10.self_attn.out_proj, Linear: time=0.000063s, act=0.0864GB, throughput=1362.767270GB/s
decoder.layers.12.self_attn.out_proj, Linear: time=0.000064s, act=0.0864GB, throughput=1357.663272GB/s
decoder.layers.21.self_attn.out_proj, Linear: time=0.000065s, act=0.0864GB, throughput=1337.623962GB/s
decoder.layers.2.self_attn.k_proj, Linear: time=0.000018s, act=0.0234GB, throughput=1328.432432GB/s
decoder.layers.23.self_attn.out_proj, Linear: time=0.000065s, act=0.0864GB, throughput=1322.978444GB/s
decoder.layers.9.self_attn.out_proj, Linear: time=0.000066s, act=0.0864GB, throughput=1313.391644GB/s
decoder.layers.3.self_attn.out_proj, Linear: time=0.000066s, act=0.0864GB, throughput=1303.942783GB/s
decoder.layers.4.self_attn.out_proj, Linear: time=0.000067s, act=0.0864GB, throughput=1294.628906GB/s
decoder.layers.4.self_attn.q_proj, Linear: time=0.000018s, act=0.0234GB, throughput=1293.473684GB/s
